DOI	Title	Authors	Abstract	Section	Date
10.48550/arXiv.2503.18893	xkv cross layer svd kv cache compression	Chi-Chih Chang, Chien-Yu Lin, Yash Akhauri, Wei-Cheng Lin, Kai-Chiang Wu, Luis Ceze, Mohamed S. Abdelfattah	large language models llms long context window enable powerful application come cost high memory consumption to store key value state kv cache . recent study attempt to merge kv cache multiple layer share representation approach require expensive pretraining rely assumption high token cosine similarity layer generally do not hold practice . find that dominant singular vector be remarkably well align multiple layer kv cache . exploit insight propose xkv simple post training method apply singular value decomposition svd kv cache group layer . xkv consolidate kv cache multiple layer share low rank subspace significantly reduce kv cache size . extensive evaluation ruler long context benchmark widely use llm e.g. llama-3.1 qwen2.5 xkv achieve 6.8x high compression rate state art inter layer technique while improve accuracy 2.7 . moreover xkv be compatible emerge multi head latent attention mla e.g. deepseek coder v2 yield notable 3x compression rate code task performance degradation . result highlight xkv 's strong capability versatility address memory bottleneck long context llm inference . code be publicly available https url .	Computation and Language (cs.CL), Machine Learning (cs.LG)	24/03/2025
10.48550/arXiv.2503.18891	agentdropout dynamic agent elimination token efficient high performance llm base multi agent collaboration	Zhexuan Wang, Yutong Wang, Xuebo Liu, Liang Ding, Miao Zhang, Jie Liu, Min Zhang	multi agent system mas base large language model llms have demonstrate significant potential collaborative problem solving . however still face substantial challenge low communication efficiency suboptimal task performance make careful design agent communication topology particularly important . inspire management theory role efficient team be often dynamically adjust propose agentdropout identify redundant agent communication different communication round optimize adjacency matrix communication graph eliminate to enhance token efficiency task performance . compare state art method agentdropout achieve average reduction 21.6 prompt token consumption 18.4 completion token consumption performance improvement 1.14 task . furthermore extended experiment demonstrate that agentdropout achieve notable domain transferability structure robustness reveal reliability effectiveness . release code https url .	Computation and Language (cs.CL), Artificial Intelligence (cs.AI)	24/03/2025
10.48550/arXiv.2503.18878	have cover bases here interpret reasoning feature large language models sparse autoencoders	Andrey Galichin, Alexey Dontsov, Polina Druzhinina, Anton Razzhigaev, Oleg Y. Rogov, Elena Tutubalina, Ivan Oseledets	large language models llms have achieve remarkable success natural language processing . recent advance have lead developing new class reasoning llms example open source deepseek r1 have achieve state art performance integrate deep thinking complex reasoning . despite impressive capability internal reasoning mechanism such model remain unexplored . work employ sparse autoencoders saes method to learn sparse decomposition latent representation neural network interpretable feature to identify feature drive reasoning deepseek r1 series model . first propose approach to extract candidate reasoning feature sae representation . validate feature empirical analysis interpretability method demonstrate direct correlation model 's reasoning ability . crucially demonstrate that steer feature systematically enhance reasoning performance offer first mechanistic account reasoning llms . code available https url	Computation and Language (cs.CL)	24/03/2025
10.48550/arXiv.2503.18769	alphaspace enabling robotic actions semantic tokenization symbolic reasoning	Alan Dao (Gia Tuan Dao), Dinh Bach Vu, Bui Quang Huy	paper present alphaspace novel methodology design to enhance spatial reasoning capability large language model llms 3d cartesian space navigation . alphaspace employ semantics base tokenization strategy encode height information specialize semantic token integrate primarily symbolic synthetic reasoning datum . approach enable llm to accurately manipulate object position specific x y z coordinate . experimental result demonstrate that alphaspace significantly outperform exist model manipulation subtask achieve total accuracy 66.67 compare 37.5 gpt-4o 29.17 claude 3.5 sonnet .	Computation and Language (cs.CL), Robotics (cs.RO)	24/03/2025
10.48550/arXiv.2503.18760	synthetic function demonstrations improve generation low resource programming languages	Nick McKenna, Xinnuo Xu, Jack Williams, Nick Wilson, Benjamin Van Durme, Christian Poelitz	key consideration when train llm be whether target language be more less resource whether be english compare welsh python compare excel . typical training datum programming language consist real program demonstration couple human write comment . here present novel approach creation such datum low resource programming language . generate fully synthetic textbook quality demonstration common library function example domain excel formula use teacher model . then finetune underperform student model show improvement 2 question answer dataset recast excel domain . show advantage finetune standard shelf rag approach can offer only modest improvement unfamiliar target domain .	Computation and Language (cs.CL)	24/03/2025
10.48550/arXiv.2503.18751	construction identification disambiguation use bert case study npn	Wesley Scivetti, Nathan Schneider	construction grammar hypothesize that knowledge language consist chiefly knowledge form mean pair construction include vocabulary general grammar rule even idiosyncratic pattern . recent work have show transformer language model represent least constructional pattern include one where construction be rare overall . work probe bert 's representation form meaning minor construction english npn noun preposition noun construction exhibit such expression face face day day be know to be polysemous . construct benchmark dataset semantically annotate corpus instance include distractor superficially resemble construction . dataset train evaluate probe classifier . achieve decent discrimination construction distractor as well sense disambiguation true instance construction reveal that bert embedding carry indication construction 's semantic . moreover artificially permute word order true construction instance cause to be reject indicate sensitivity matter form . conclude that bert do latently encode least knowledge npn construction go surface syntactic pattern lexical cue .	Computation and Language (cs.CL), Artificial Intelligence (cs.AI)	24/03/2025
10.48550/arXiv.2503.18730	predict road ahead knowledge graph base foundation model scene understanding autonomous driving	Hongkuan Zhou, Stefan Schmid, Yicong Li, Lavdim Halilaj, Xiangtong Yao, Wei cao	autonomous drive field have see remarkable advancement various topic such object recognition trajectory prediction motion planning . however current approach face limitation effectively comprehend complex evolution drive scene time . paper propose fm4su novel methodology train symbolic foundation model fm scene understanding autonomous driving . leverage knowledge graph kgs to capture sensory observation domain knowledge such road topology traffic rule complex interaction traffic participant . bird 's eye view bev symbolic representation be extract kg driving scene include spatio temporal information object scene . bev representation be serialize sequence token give pre train language model plms learn inherent understanding co occurrence drive scene element generate prediction next scene . conduct number experiment use nuscene dataset kg various scenario . result demonstrate that fine tune model achieve significantly high accuracy task . fine tune t5 model achieve next scene prediction accuracy 86.7 . paper conclude that fm4su offer promising foundation develop more comprehensive model scene understanding autonomous driving .	Computation and Language (cs.CL)	24/03/2025
10.48550/arXiv.2503.18702	unsupervised acquisition discrete grammatical categories	David Ph. Shakouri, Crit Cremers, Niels O. Schiller	article present experiment perform use computational laboratory environment language acquisition experiment . implement multi agent system consist two agent adult language model daughter language model aim to learn mother language . crucially daughter agent do not have access internal knowledge mother language model only language exemplar mother agent generate . experiment illustrate how system can be use to acquire abstract grammatical knowledge . demonstrate how statistical analysis pattern input datum correspond grammatical category yield discrete grammatical rule . rule be subsequently add grammatical knowledge daughter language model . end hierarchical agglomerative cluster analysis be apply utterance consecutively generate mother language model . be argue that procedure can be use to acquire structure resemble grammatical category propose linguist natural language . thus be establish that non trivial grammatical knowledge have be acquire . moreover parameter configuration computational laboratory environment determine use training datum generate mother language model be validate second experiment test set similarly result acquisition non trivial category .	Computation and Language (cs.CL)	24/03/2025
10.48550/arXiv.2503.18681	commander gpt fully unleash sarcasm detection capability multi modal large language model	Yazhou Zhang, Chunwang Zou, Bo Wang, Jing Qin	sarcasm detection crucial research direction field natural language processing nlp have attract widespread attention . traditional sarcasm detection task have typically focus single modal approach e.g. text implicit subtle nature sarcasm such method often fail to yield satisfactory result . recent year researcher have shift focus sarcasm detection multi modal approach . however effectively leverage multi modal information to accurately identify sarcastic content remain challenge warrant further exploration . leverage powerful integrate processing capability multi modal large language models mllms various information source propose innovative multi modal commander gpt framework . inspire military strategy first decompose sarcasm detection task six distinct sub task . central commander decision maker then assign well suit large language model to address specific sub task . ultimately detection result model be aggregate to identify sarcasm . conduct extensive experiment mmsd mmsd 2.0 utilize four multi modal large language model six prompt strategy . experiment demonstrate that approach achieve state art performance 19.3 improvement f1 score necessitate fine tuning ground truth rationale .	Computation and Language (cs.CL), Artificial Intelligence (cs.AI)	24/03/2025
10.48550/arXiv.2503.18646	zerolm data free transformer architecture search language model	Zhen-Song Chen, Hong-Wei Ding, Xian-Jia Wang, Witold Pedrycz	neural architecture search nas provide systematic framework automate design neural network architecture widespread adoption be hinder prohibitive computational requirement . exist zero cost proxy method while reduce search overhead demonstrate inadequate performance architecture rank task particularly transformer base model where often underperform simple parameter counting metric . current automate proxy discovery approach suffer extended search time susceptibility datum overfitte structural complexity . paper introduce novel zero cost proxy methodology quantifie model capacity efficient weight statistic computation while decompose transformer architecture functionally distinct sub module thereby optimize balance contribution overall performance . comprehensive evaluation demonstrate superiority approach achieve spearman 's rho 0.76 kendall 's tau 0.53 flexibert benchmark . propose method exhibit exceptional computational efficiency while maintain robust performance diverse nas benchmark task offer practical solution large scale architecture search .	Computation and Language (cs.CL)	24/03/2025
