Teaser Text,Tag Value,Teaser Normalizado
#SegundaDivisión  | La fortaleza del ataque: Rampla Juniors terminó con el invicto de Rocha,No,# segundadivisión   | fortaleza ataque : rampla juniors terminar invicto rocha
"Jorge Lanata a los argentinos que se van a Uruguay: ""Irse es una manera de fracasar""",No,"jorge lanata argentino uruguay : "" irse fracasar """
Raffo: “Los montevideanos deben estar alerta por errores más gruesos y costosos de Cosse”,No,raffo : “ montevideano alerta error grueso costoso cosse ”
Ecos del universo: joven uruguayo desentraña (y explica) los secretos de las ondas gravitacionales,Clickbait,eco universo : joven uruguayo desentraña ( explicar ) secreto onda gravitacional
"Propuesta quinquenal de ANEP: aumento de 3,8% del presupuesto y metas de aprendizaje. Una de las innovaciones de la propuesta de la ANEP es que, por primera vez en la historia, el ente autónomo fija metas de aprendizaje.",No,"propuesta quinquenal anep : aumento 3,8% presupuesto meta aprendizaje . innovación propuesta anep , historia , ente autónomo fijar meta aprendizaje ."
"Diego Forlán, tras su salida de Peñarol: ""No me quedan reproches, así es el fútbol""",No,"diego forlán , salida peñarol : "" quedar reproche , fútbol """
#Apertura2020  | Felipe Carballo y Armando Méndez se ganaron la titularidad en Nacional,No,# apertura2020   | felipe carballo armando méndez ganar titularidad nacional
"Reseña: la nueva temporada de ""The Sinner"" es tendencia en Netflix a pura ansiedad",No,"reseña : temporada "" the sinner "" tendencia netflix puro ansiedad"
"#Apertura2020  | Boston River salió del fondo, volvió a ganar y respira en el descenso tras vencer a Progreso",No,"# apertura2020   | boston river salir fondo , volver ganar respirar descenso vencer progreso"
#Apertura2020  | Rentistas salvó diez meses en tres minutos frente a Peñarol,Clickbait,# apertura2020   | rentistas salvar mes minuto frente peñarol
Lionel Messi da pasos para seguir su carrera en Manchester City. Lionel Messi confirmó su decisión: quiere ir al Manchester City de Pep Guardiola,No,lionel messi paso seguir carrera manchester city . lionel messi confirmar decisión : manchester city pep guardiola
"Inter Miami, el equipo que dirige el “Tornado” Diego Alonso, sumó a un campeón del mundo",Clickbait,"inter miami , equipo dirigir “ tornado ” diego alonso , sumar campeón mundo"
"Lukashenko, cada vez más aislado, endurece represión. La Unión Europea no reconoce el resultado de las elecciones por fraude y anuncia sanciones al régimen de Bielorrusia",No,"lukashenko , aislado , endurecer represión . unión europea reconocer resultado elección fraude anunciar sanción régimen bielorrusia"
#Eliminatorias | Almada y Repetto están entre los candidatos para dirigir a Ecuador,No,# eliminatorias | almada repetto candidato dirigir ecuador
