Teaser Text,Tag Value,Teaser Normalizado
#SegundaDivisión  | La fortaleza del ataque: Rampla Juniors terminó con el invicto de Rocha,No,# segundadivisión   | el fortaleza del ataque : rampla juniors terminar con el invicto de rocha
"Jorge Lanata a los argentinos que se van a Uruguay: ""Irse es una manera de fracasar""",No,"jorge lanata a el argentino que él ir a uruguay : "" irse ser uno manera de fracasar """
Raffo: “Los montevideanos deben estar alerta por errores más gruesos y costosos de Cosse”,No,raffo : “ el montevideano deber estar alerta por error más grueso y costoso de cosse ”
Ecos del universo: joven uruguayo desentraña (y explica) los secretos de las ondas gravitacionales,Clickbait,eco del universo : joven uruguayo desentraña ( y explicar ) el secreto de el onda gravitacional
"Propuesta quinquenal de ANEP: aumento de 3,8% del presupuesto y metas de aprendizaje. Una de las innovaciones de la propuesta de la ANEP es que, por primera vez en la historia, el ente autónomo fija metas de aprendizaje.",No,"propuesta quinquenal de anep : aumento de 3,8% del presupuesto y meta de aprendizaje . uno de el innovación de el propuesta de el anep ser que , por primero vez en el historia , el ente autónomo fijar meta de aprendizaje ."
"Diego Forlán, tras su salida de Peñarol: ""No me quedan reproches, así es el fútbol""",No,"diego forlán , tras su salida de peñarol : "" no yo quedar reproche , así ser el fútbol """
#Apertura2020  | Felipe Carballo y Armando Méndez se ganaron la titularidad en Nacional,No,# apertura2020   | felipe carballo y armando méndez él ganar el titularidad en nacional
"Reseña: la nueva temporada de ""The Sinner"" es tendencia en Netflix a pura ansiedad",No,"reseña : el nuevo temporada de "" the sinner "" ser tendencia en netflix a puro ansiedad"
"#Apertura2020  | Boston River salió del fondo, volvió a ganar y respira en el descenso tras vencer a Progreso",No,"# apertura2020   | boston river salir del fondo , volver a ganar y respirar en el descenso tras vencer a progreso"
#Apertura2020  | Rentistas salvó diez meses en tres minutos frente a Peñarol,Clickbait,# apertura2020   | rentistas salvar diez mes en tres minuto frente a peñarol
Lionel Messi da pasos para seguir su carrera en Manchester City. Lionel Messi confirmó su decisión: quiere ir al Manchester City de Pep Guardiola,No,lionel messi dar paso para seguir su carrera en manchester city . lionel messi confirmar su decisión : querer ir al manchester city de pep guardiola
"Inter Miami, el equipo que dirige el “Tornado” Diego Alonso, sumó a un campeón del mundo",Clickbait,"inter miami , el equipo que dirigir el “ tornado ” diego alonso , sumar a uno campeón del mundo"
"Lukashenko, cada vez más aislado, endurece represión. La Unión Europea no reconoce el resultado de las elecciones por fraude y anuncia sanciones al régimen de Bielorrusia",No,"lukashenko , cada vez más aislado , endurecer represión . el unión europea no reconocer el resultado de el elección por fraude y anunciar sanción al régimen de bielorrusia"
#Eliminatorias | Almada y Repetto están entre los candidatos para dirigir a Ecuador,No,# eliminatorias | almada y repetto estar entre el candidato para dirigir a ecuador
#FútbolUruguayo  | River Plate renovó la concesión del Saroldi y bautizó a sus tribunas,No,# fútboluruguayo   | river plate renovó el concesión del saroldi y bautizar a su tribuna
Profepa continúa investigando al tigre de Antara; inspeccionó el domicilio en el que fue resguardado,No,profepa continuar investigar al tigre de antara ; inspeccionar el domicilio en el que ser resguardar
"Liga MX: Nahuel Guzmán dio positivo de COVID-19 por quinta ocasión, pero él lo tomó con humor",Clickbait,"liga mx : nahuel guzmán dar positivo de covid-19 por quinto ocasión , pero él él tomar con humor"
Dólares sospechosos: qué movimientos vigila el Banco Central para limitar infracciones en la compra de los USD 200 mensuales,Clickbait,dólares sospechoso : qué movimiento vigilar el banco central para limitar infracción en el compra de el usd 200 mensual
Facebook amenaza con bloquear la opción de compartir noticias en Australia: podría ser un precedente para otras partes del mundo,No,facebook amenazar con bloquear el opción de compartir noticia en australia : poder ser uno precedente para otro parte del mundo
"Microsoft está negociando la compra de Tik Tok, sospechada de tener vínculos con el régimen chino",No,"microsoft estar negociar el compra de tik tok , sospechado de tener vínculo con el régimen chino"
El Gobierno hace lobby en Washington: contrató asesoramiento político por casi dos millones de dólares,No,el gobierno hacer lobby en washington : contratar asesoramiento político por casi dos millón de dólares
"La esposa de un oficial preso le contestó a Alex Saab: “Usted se queja por dos días incomunicado, la Dirección de Inteligencia tuvo 45 días a mi esposo secuestrado”",No,"el esposa de uno oficial preso él contestar a alex saab : “ usted él quejar por dos día incomunicado , el dirección de inteligencia tener 45 día a mi esposo secuestrado ”"
"La delantera de Tigres Femenil, Katty Martínez, dio positivo a coronavirus a días del arranque del torneo",No,"el delantera de tigres femenil , katty martínez , dar positivo a coronavirus a día del arranque del torneo"
"Alberto Fernández respaldó al plan del nuevo Consejo Agroindustrial, con foco en el aumento de las exportaciones y la generación de empleo",No,"alberto fernández respaldar al plan del nuevo consejo agroindustrial , con foco en el aumento de el exportación y el generación de empleo"
Sin TACC: todo lo que necesitas saber sobre las comidas para celíacos,Clickbait,sin tacc : todo él que necesitar saber sobre el comida para celíaco
"Pese al anuncio de Lionel Messi, Luis Suárez se aleja de Barcelona para jugar en Juventus: cuánto ganaría por temporada",Clickbait,"pese al anuncio de lionel messi , luis suárez él alejar de barcelona para jugar en juventus : cuánto ganar por temporada"
Miguel Ángel Pichetto: “Hay expresiones de figuras secundarias que debilitan la autoridad del Presidente”,No,miguel ángel pichetto : “ haber expresión de figura secundario que debilitir el autoridad del presidente ”
Ronald Koeman eligió al que sería el nuevo capitán del Barcelona si Messi decide irse del club,Clickbait,ronald koeman elegir al que ser el nuevo capitán del barcelona si messi decidir ir él del club
"La foto de Nicole Poturalski en el restaurante de su esposo, donde conoció a Bran Pitt",Clickbait,"el foto de nicole poturalski en el restaurante de su esposo , donde conocer a bran pitt"
Deuda: el Gobierno fijó como estrategia cerrar con los bonistas de Wall Street y luego negociar con el FMI y el Club de París,No,deuda : el gobierno fijar como estrategia cerrar con el bonista de wall street y luego negociar con el fmi y el club de parís
El fallido del nuevo refuerzo del Leeds que anticipó el destino de Marcelo Bielsa,Clickbait,el fallido del nuevo refuerzo del leeds que anticipar el destino de marcelo bielsa
"Garantizan que no faltarán billetes en el fin de semana largo, pero hubo ciertas tensiones entre el BCRA y los bancos",No,"garantizan que no faltar billete en el fin de semana largo , pero haber cierto tensión entre el bcra y el banco"
Salieron a la luz viejas internas del vestuario del PSG: “Unai Emery tenía problemas para manejar a las estrellas”,Clickbait,salir a el luz viejo interno del vestuario del psg : “ unai emery tener problema para manejar a el estrella ”
La crisis que viene: Herrera anticipó más recortes al presupuesto y aumento en la deuda,No,el crisis que venir : herrera anticipar más recorte al presupuesto y aumento en el deuda
Zinedine Zidane habló de las polémicas en los arbitrajes del Real Madrid: “Estoy cansado”,No,zinedine zidane hablar de el polémica en el arbitraje del real madrid : “ estar cansado ”
Oficial: se concretó el trueque Arthur-Pjanic entre el Barcelona y la Juventus. Oficial: el FC Barcelona traspasó a Arthur a la Juventus,No,oficial : él concretar el trueque arthur-pjanic entre el barcelona y el juventus . oficial : el fc barcelona traspasar a arthur a el juventus
CoDi y medios de pago sin contacto en tiempos de COVID,No,codi y medio de pago sin contacto en tiempo de covid
El equipo de la Premier más “sudamericano” de todos: adoptó el mate como infusión diaria,Clickbait,el equipo de el premier más “ sudamericano ” de todo : adoptar el mate como infusión diario
RT @infobaecolombia: Coronavirus sin fronteras: pacientes que llegan de México saturan hospitales de California,No,rt @infobaecolombio : coronavirus sin frontera : paciente que llegar de méxico saturar hospital de california
