ID,Pregunta,Transcripcion,Estres
ID01,Pregunta1,últimamente me he sentido muy presionado sobre todo porque estoy realizando mi servicio la escuela y trabajo terminal y se me juntan bastantes cosas y a veces siento que no duermo lo suficiente y siempre tengo pendientes que realizar.,si
ID01,Pregunta3,un hecho reciente es que para un examen no estudié lo suficiente y creo que dejé muchas cosas sin contestar que no sentía que sabía y me sentí frustrado porque siento que pude haber estudiado más de mi parte.,si
ID01,Pregunta4,últimamente he pensado si realmente voy a aprobar mis materias porque por el tema del servicio social no he podido enfocarme al cien por ciento en mis materias y me siento estresado.,si
ID01,Pregunta5,durante el último mes lo que más me preocupa es que de una materia no he entregado varias prácticas por falta de tiempo y porque no he puesto la suficiente atención en clase y me preocupa bastante el saber si voy a pasar esa materia.,si
ID01,Pregunta7,durante el periodo de exámenes o entregas normalmente me siento bastante malhumorado con la gente a veces soy estoy un poco irritable y siento que también depende de que no duermo lo suficiente por los exámenes y entregas.,si
ID01,Pregunta8,cuando estoy en momentos de que me siento muy presionado normalmente trato de organizarme pero al querer abarcar tantas cosas me termino desesperando y siento que también se debe a que procrastino mucho y no termino las cosas o las dejo a medias.,si
ID01,Pregunta9,normalmente cuando estoy estresado me siento bastante irritable con las personas me cuesta concentrarme y a veces también me cuesta conciliar el sueño.,si
ID01,Pregunta11,"a veces me siento como atrapado de no poder hacer lo que yo quisiera por la obligación de todas las tareas, el servicio social trabajo terminal o todas las cosas que tenga pendiente y siento que si desde un principio me hubiera organizado mejor o no procrastinará tanto podría aprovechar mejor el tiempo para mí mismo y para cosas que me gustan hacer.",si
ID01,Pregunta12,"me gusto mucho la materia de redes tres, el profesor es muy bueno y me gusta mucho la forma en la que explica las cosas y siento que aprendí bastante de esa materia.",no
ID02,Pregunta1,"Describiría mis emociones como variantes respecto a lo académico, influenciadas por el estrés y también por conflictos con algunos compañeros.",si
ID02,Pregunta6,Me concentro mejor en salones vacíos o en áreas al aire libre.,no
ID02,Pregunta8,"Cuando estoy bajo presión, salgo a caminar con mis perros, hago ejercicio o me baño para despejarme antes de volver a concentrarme.",si
ID02,Pregunta9,"Siento dolor de cabeza, sueño y pensamientos negativos cuando estoy bajo mucha presión.",si
ID02,Pregunta10,"Cuando empiezo a perder la concentración por sentirme agobiado, tomo una pausa para caminar, bañarme o comer algo que me ayude a relajarme.",si
ID02,Pregunta11,"Cuando tengo muchas cosas por hacer y poco tiempo para mí, me agobio y entro en una rutina que afecta mi estado mental y concentración.",si
ID02,Pregunta12,"Mi materia favorita ha sido Tecnologías para el Desarrollo Web, incluso fue una de las razones por las que elegí esta universidad.",no
ID03,Pregunta6,"La biblioteca es sin duda el mejor lugar para estudiar, me concentro bien y hay internet; aunque los salones vacíos también me gustan, son más difíciles de encontrar.",no
ID03,Pregunta8,"En momentos de alta presión me comporto bien, sé manejar la presión aunque me agobie, y siempre estoy a la altura de la situación.",si
ID04,Pregunta1,"Mis emociones respecto a mi experiencia académica han sido muy altas y bajas. Al principio fue agradable, después llegó mucho estrés al punto de casi darme de baja. A veces me siento estresada, enojada y un poco deprimida, pero también he aprendido a manejar mejor estas emociones.",si
ID04,Pregunta2,"Últimamente me he sentido agobiada por llevar siete materias, protocolo de trabajo terminal y servicio social. Ha sido muy agotador y no he podido descansar bien.",si
ID04,Pregunta3,"Se me juntan muchas tareas y siento que el tiempo no me alcanza, lo que me estresa. A veces no empiezo por ansiedad y termino haciéndolo con el tiempo encima. Me ha hecho sentir bien completar proyectos y avanzar con mis pendientes.",si
ID04,Pregunta4,"En lo personal he pensado mucho sobre mis relaciones sociales, si estoy tomando las decisiones correctas. Académicamente, me preocupa si me estoy atrasando en la carrera, pensar en prácticas y trabajo futuro me ha quitado el sueño en algunos días.",si
ID04,Pregunta5,"Lo más difícil fue hacer mi protocolo mientras mantenía una relación que me afectaba emocionalmente. Dejé de cuidar mi salud, dejé el gimnasio y al psicólogo. Lo que me hizo sentir mejor fue salir con amigos o darme pequeños gustos como comprar flores.",si
